Date,19A,19B,20A,20B,20C
8/2/2020,0,0,6,2,3
8/3/2020,0,0,6,7,0
8/4/2020,0,1,18,7,1
8/5/2020,0,0,6,5,0
8/6/2020,0,0,13,17,1
8/7/2020,0,0,11,9,2
8/8/2020,0,0,2,5,0
8/9/2020,0,0,5,3,0
8/10/2020,0,0,17,14,0
8/11/2020,0,0,6,10,2
8/12/2020,0,0,5,14,4
8/13/2020,0,0,5,13,1
8/14/2020,0,0,5,8,0
8/15/2020,0,0,1,6,0
8/16/2020,0,0,2,5,0
8/17/2020,0,0,18,14,0
8/18/2020,0,0,11,9,1
8/19/2020,0,0,9,6,0
8/20/2020,1,0,7,12,0
8/21/2020,0,0,6,8,0
8/22/2020,0,0,4,0,0
8/24/2020,1,0,16,7,0
8/25/2020,0,0,14,2,1
8/26/2020,0,0,11,9,0
8/27/2020,0,0,3,8,1
8/28/2020,0,0,3,9,0
8/29/2020,1,0,7,4,0
8/30/2020,0,0,3,8,0
8/31/2020,0,0,9,2,2
9/1/2020,0,0,7,6,4
9/2/2020,0,0,10,3,0
9/3/2020,0,0,15,9,0
9/4/2020,0,0,3,4,0
9/5/2020,0,0,2,5,0
9/6/2020,0,0,2,2,0
9/7/2020,0,0,13,7,0
9/8/2020,0,0,6,5,0
9/9/2020,0,0,15,9,0
9/10/2020,0,0,17,9,0
9/11/2020,0,0,9,1,0
9/12/2020,0,0,0,4,0
9/13/2020,0,0,5,1,0
9/14/2020,0,0,5,3,0
9/15/2020,0,0,7,1,0
9/16/2020,0,0,8,7,0
9/17/2020,0,0,1,1,0
9/18/2020,0,0,5,2,0
9/19/2020,0,0,1,1,0
9/20/2020,0,0,4,0,0
9/21/2020,0,0,1,3,0
9/22/2020,0,0,9,2,0
9/23/2020,0,0,1,0,0
9/24/2020,0,0,4,0,0
9/25/2020,0,0,2,0,0
9/26/2020,0,0,2,0,0
9/27/2020,0,0,2,0,0
10/1/2020,0,0,5,1,0
10/2/2020,0,0,5,0,0
10/3/2020,0,0,9,2,0
10/4/2020,0,0,11,0,0
10/5/2020,0,0,8,0,0
10/6/2020,0,0,8,1,0
10/7/2020,0,0,5,1,0
10/8/2020,0,0,3,1,0
